id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-44793,medium,Browser history must be saved.,"This policy disables saving browser history in Google Chrome and prevents users from changing this setting. If this setting is enabled, browsing history is not saved. If this setting is disabled or not set, browsing history is saved.",None,SV-57627r2_rule,F-49883r2_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Disable saving browser history
    Policy State: Disabled
    Policy Value:  N/A",C-49571r2_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If the policy 'SavingBrowserHistoryDisabled' is not shown or is not set to false, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the SavingBrowserHistoryDisabled value name does not exist or its value data is not set to 0, then this is a finding.
"
V-44791,medium,"Safe Browsing must be enabled,","Enables Google Chrome's Safe Browsing feature and prevents users from changing this setting. If you enable this setting, Safe Browsing is always active. If you disable this setting, Safe Browsing is never active. If you enable or disable this setting, users cannot change or override this setting in Google Chrome. If this policy is left not set, this will be enabled but the user will be able to change it. Safe browsing uses a signature database to test sites when they are be loaded to ensure they don't contain any known malware.",None,SV-57625r2_rule,F-49881r2_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Enable Safe Browsing
    Policy State: Enabled
    Policy Value: N/A",C-49569r2_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If SafeBrowsingEnabled is not displayed under the Policy Name column or it is not set to true under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the SafeBrowsingEnabled value name does not exist or its value data is not set to 1, then this is a finding.
"
V-44795,medium,Default behavior must block webpages from automatically running plugins.,"This policy allows you to set whether websites are allowed to automatically run plugins. Automatically running plugins can be either allowed for all websites or denied for all websites. If this policy is left not set, 'AllowPlugins' will be used and the user will be able to change it.    
   1 = Allow all sites to automatically run plugins    
   2 = Block all plugins    
   3 = Click to play.
",None,SV-57629r4_rule,F-49885r4_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Content Settings\
    Policy Name: Default plugins setting
    Policy State: Enabled
    Policy Value: Click to play",C-49573r3_chk,"Universal method: 
 1. In the omnibox (address bar) type chrome://policy 
 2. If the policy ""DefaultPluginsSetting"" is not shown or is not set to ""3"", this is a finding.

Windows method:
 1. Start regedit
 2. Navigate to HKLM\Software\Policies\Google\Chrome\DefaultPluginsSetting
 3. If this key ""DefaultPluginsSetting"" does not exist or is not set to ""3"", this is a finding."
V-44711,medium,Firewall traversal from remote host must be disabled.,"Remote connections should never be allowed that bypass the firewall, as there is no way to verify if they can be trusted. Enables usage of STUN and relay servers when remote clients are trying to establish a connection to this machine. If this setting is enabled, then remote clients can discover and connect to this machine even if they are separated by a firewall. If this setting is disabled and outgoing UDP connections are filtered by the firewall, then this machine will only allow connections from client machines within the local network. If this policy is left not set the setting will be enabled.	",None,SV-57545r4_rule,F-49801r5_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative\Templates\Google\Google Chrome\Configure remote access options
   Policy Name: Enable firewall traversal from remote access host
   Policy State: Disabled
   Policy Value: N/A

",C-49503r4_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If RemoteAccessHostFirewallTraversal is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding.

Windows registry:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the RemoteAccessHostFirewallTraversal value name does not exist or its value data is not set to 0, then this is a finding.  
"
V-44775,medium,Importing of saved passwords must be disabled.,"Importing of saved passwords should be disabled as it could lead to unencrypted account passwords stored on the system from another browser to be viewed. This policy forces the saved passwords to be imported from the previous default browser if enabled. If enabled, this policy also affects the import dialog. If disabled, the saved passwords are not imported. If it is not set, the user may be asked whether to import, or importing may happen automatically.",None,SV-57609r4_rule,F-49865r4_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
   Policy Name: Import saved passwords from default browser on first run
   Policy State: Disabled
   Policy Value: N/A",C-49555r2_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If ImportSavedPasswords is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the ImportSavedPasswords value name does not exist or its value data is not set to 0, then this is a finding."
V-44799,medium,Session only based cookies must be disabled.,"Policy allows you to set a list of URL patterns that specify sites which are allowed to set session only cookies. If this policy is left not set the global default value will be used for all sites either from the 'DefaultCookiesSetting' policy if it is set, or the user's personal configuration otherwise. If the 'RestoreOnStartup' policy is set to restore URLs from previous sessions this policy will not be respected and cookies will be stored permanently for those sites.",None,SV-57633r4_rule,F-49889r4_fix,"Windows group policy:
 1. Open the group policy editor tool with gpedit.msc 
 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Content Settings
 Policy Name: Allow session only cookies on these sites
 Policy State: Disabled
 Policy Value: N/A",C-49577r5_chk,"Universal method: 
1. In the omnibox(address bar) type chrome://policy 
2. If the policy 'CookiesSessionOnlyForUrls' exists, and has any defined values, this is a finding.

Windows method:
 1. Start regedit
 2. Navigate to HKLM\Software\Policies\Google\Google Chrome\Content Settings\CookiesSessionOnlyForUrls
 3. If this key exists and has any defined values, this is a finding."
V-44771,medium,Metrics reporting to Google must be disabled.,"Enables anonymous reporting of usage and crash-related data about Google Chrome to Google and prevents users from changing this setting. If you enable this setting, anonymous reporting of usage and crash-related data is sent to Google. A crash report could contain sensitive information from the computer's memory. If you disable this setting, anonymous reporting of usage and crash-related data is never sent to Google. If you enable or disable this setting, users cannot change or override this setting in Google Chrome. If this policy is left not set the setting will be what the user chose upon installation / first run.",None,SV-57605r3_rule,F-49861r2_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Enable reporting of usage and crash-related data
    Policy State: Disabled
    Policy Value: N/A",C-49551r3_chk,"Universal method: 
 1. In the omnibox (address bar) type chrome://policy 
 2. If MetricsReportingEnabled is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding.

Windows method:
 1. Start regedit
 2. Navigate to HKLM\Software\Policies\Google\Chrome\
 3. If the MetricsReportingEnabled value name does not exist or its value data is not set to 0, then this is a finding.

Note: This policy will only display in the chrome://policy tab on domain joined systems. On standalone systems, the policy will not display."
V-44805,medium,Browser must support auto-updates.,One of the most effective defenses against exploitation of browser vulnerabilities is to ensure the version of the browser is current.   Frequent updates provide corrections to discovered vulnerabilities and the timely update reduces the window for zero day attacks.   Automatic installation of updates and patches is the most effective method for keeping the browser software current.  The browser must have the capability to install software updates and patches automatically. ,None,SV-57639r3_rule,F-49895r4_fix,"1. Start regedit 
2. Navigate to Key Path: HKLM\Software\Policies\Google\Update
Value Name: AutoUpdateCheckPeriodMinutes
Value Type: Boolean (REG_DWORD)
Value Data: 10080 or less, but not 0. ",C-49583r2_chk,"Windows method:
 1. Start regedit
 2. Navigate to HKLM\Software\Policies\Google\Update\
 3. If the AutoUpdateCheckPeriodMinutes value name does not exist or its value is set to 0 or greater than 10080, this is a finding."
V-52795,medium,URLs must be whitelisted for plugin use,"This policy allows you to set a list of URL patterns that specify sites which are allowed to run plugins. If this policy is not set, plugins could be run from any website, including potentially malicious ones.",None,SV-67011r2_rule,F-57613r1_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Content Settings
    Policy Name: Allow plugins on these sites
    Policy State: Enabled
    Policy Value 1: *.mil
    Policy Value 2: *.gov
",C-54515r1_chk,"Universal method:
   1. In the omnibox (address bar) type chrome://policy
   2. If PluginsAllowedForUrls is not displayed under the Policy Name column or it is not set to a list of administrator approved URLs under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the PluginsAllowedForUrls key does not exist and it does not contain a list of administrator approved URLs then this is a finding.

Suggested: the set or subset of *.mil and *.gov
"
V-44763,medium,AutoFill must be disabled.,"This AutoComplete feature suggests possible matches when users are filling in forms. It is possible that this feature will cache sensitive data and store it in the user's profile, where it might not be protected as rigorously as required by organizational policy. If you enable this setting or do not set a value, AutoFill will remain under the control of the user. This will allow them to configure AutoFill profiles and to switch AutoFill on or off at their own discretion.",None,SV-57597r2_rule,F-49855r3_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Enable AutoFill
    Policy State: Disabled
    Policy Value: N/A",C-49545r2_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If AutoFillEnabled is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the AutoFillEnabled value name does not exist or its value data is not set to 0, then this is a finding.
"
V-44723,medium,Site tracking users location must be disabled.,"Website tracking is the practice of gathering information as to which websites were accesses by a browser. The common method of doing this is to have a website create a tracking cookie on the browser.   If the information of what sites are being accessed is made available to unauthorized persons, this violates confidentiality requirements, and over time poses a significant OPSEC issue. This policy setting allows you to set whether websites are allowed to track the user’s physical location. Tracking the user’s physical location can be allowed by default, denied by default or the user can be asked every time a website requests the physical location.	
   1 = Allow sites to track the user’s physical location	
   2 = Do not allow any site to track the user’s physical location	
   3 = Ask whenever a site wants to track the user’s physical location
",None,SV-57557r2_rule,F-49813r3_fix,"Windows group policy:    
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Content Settings\    
   Policy Name: Default geolocation setting    
   Policy State: Enabled    
   Policy Value: Do not allow any site to track the users' physical location

",C-49511r3_chk,"Universal method:               
   1. In the omnibox (address bar) type chrome://policy             
   2. If DefaultGeolocationSetting is not displayed under the Policy Name column or it is not set to 2, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the DefaultGeolocationSetting value name does not exist or its value data is not set to 2, then this is a finding.
"
V-44727,medium,Extensions installation must be blacklisted by default.,"Extensions are developed by third party sources and are designed to extend Google Chrome's functionality. An extension can be made by anyone, to do and access almost anything on a system; this means they pose a high risk to any system that would allow all extensions to be installed by default.  Allows you to specify which extensions the users can NOT install. Extensions already installed will be removed if blacklisted. A blacklist value of '*' means all extensions are blacklisted unless they are explicitly listed in the whitelist. If this policy is left not set the user can install any extension in Google Chrome.",None,SV-57561r2_rule,F-49817r3_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Extensions\
    Policy Name: Configure extension installation blacklist
    Policy State: Enabled
    Policy Value: *

",C-49513r3_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If ExtensionInstallBlacklist is not displayed under the Policy Name column or it is not set to * under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\ExtensionInstallBlacklist
   3. If the a registry value name of 1 does not exist under that key or its value is not set to *, then this is a finding.
"
V-44729,medium,"Extensions that are approved for use must be whitelisted.
","The whitelist should only contain organizationally approved extensions. This is to prevent a user from accidently whitelisitng a malicious extension. This policy allows you to specify which extensions are not subject to the blacklist. A blacklist value of ‘*’ means all extensions are blacklisted and users can only install extensions listed in the whitelist. By default, no extensions are whitelisted. If all extensions have been blacklisted by policy, then the whitelist policy can be used to allow specific extensions to be installed. Administrators should determine which extensions should be allowed to be installed by their users. If no extensions are whitelisted, then no extensions can be installed when combined with blacklisting all extensions.",None,SV-57563r2_rule,F-49821r4_fix,"Windows group policy:
 1. Open the group policy editor tool with gpedit.msc 
 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\Extensions\
 Policy Name: Configure extension installation whitelist
 Policy State: Enabled
 Policy Value: oiigbmnaadbkfbmpbfijlflahbdbdgdf (or 1)

Note: oiigbmnaadbkfbmpbfijlflahbdbdgdf is the extension ID for scriptno(a commonly used Chrome extension)",C-49515r3_chk,"Universal method: 
 1. In the omnibox (address bar) type chrome://policy 
 2. If ExtensionInstallWhitelist is not displayed under the Policy Name column or it is not set to oiigbmnaadbkfbmpbfijlflahbdbdgdf or a list of administrator approved extension IDs, then this is a finding.

Windows method:
 1. Start regedit
 2. Navigate to the key HKLM\Software\Policies\Google\Chrome\ExtensionInstallWhitelist
 3. If the ExtensionInstallWhitelist key is not set to 1 or oiigbmnaadbkfbmpbfijlflahbdbdgdf or a list of administrator-approved extension IDs, then this is a finding."
V-44749,high,Plugins requiring authorization must ask for user permission.,"Policy allows Google Chrome to run plugins that require authorization. If you enable this setting, plugins that are not outdated will always run. If this setting is disabled or not set, users will be not be asked for permission to run plugins that require authorization. These are plugins that can compromise security.",None,SV-57583r2_rule,F-49839r3_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Always runs plugins that require authorization
    Policy State: Disabled
    Policy Value: N/A
",C-49531r2_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy       
   2. If AlwaysAuthorizePlugins is not displayed under the Policy Name column or it is not set to false under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the AlwaysAuthorizePlugins value name does not exist or its value data is not set to 0, then this is a finding.
"
V-44787,medium,Automated installation of missing plugins must be disabled.,The automatic search and installation of missing or not installed plugins should be disabled as this can cause significant risk if a unapproved or vulnerable plugin were to be installed without proper permissions or authorization. If you set this setting to enabled the automatic search and installation of missing plugins will be disabled in Google Chrome.,None,SV-57621r2_rule,F-49877r2_fix,"Windows group policy:
   1. Open the group policy editor tool with gpedit.msc   
   2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
    Policy Name: Specify whether the plugin finder should be disabled
    Policy State: Enabled
    Policy Value: N/A
",C-49565r2_chk,"Universal method:        
   1. In the omnibox (address bar) type chrome://policy        
   2. If DisablePluginFinder is not displayed under the Policy Name column or it is not set to true under the Policy Value column, then this is a finding.

Windows method:
   1. Start regedit
   2. Navigate to HKLM\Software\Policies\Google\Chrome\
   3. If the DisablePluginFinder value name does not exist or its value data is not set to 1, then this is a finding.
"
V-44769,medium,Network prediction must be disabled.,"Disables network prediction in Google Chrome and prevents users from changing this setting. If you enable or disable this setting, users cannot change or override this setting in Google Chrome. If this policy is left not set, this will be enabled but the user will be able to change it.",None,SV-57603r3_rule,F-49859r4_fix,"Windows group policy:
 1. Open the group policy editor tool with gpedit.msc 
 2. Navigate to Policy Path: Computer Configuration\Administrative Templates\Google\Google Chrome\
 Policy Name: Enable network prediction
 Policy State: Enabled
 Policy Value: 2",C-49549r3_chk,"Universal method: 
 1. In the omnibox (address bar) type chrome://policy 
 2. If ""NetworkPredictionOptions"" is not displayed under the Policy Name column or it is not set to ""2"" under the Policy Value column, this is a finding.

Windows method:
 1. Start regedit
 2. Navigate to HKLM\Software\Policies\Google\Chrome\
 3. If the ""NetworkPredictionOptions"" value name does not exist or its value data is not set to ""2,"" this is a finding."
